% Index 	 Real 		 Imaginary 	 Magnitude 	 Phase(rad)
0	 -12.874885	 0.000000	 12.874885	 3.141593
1	 -8.966480	 0.293264	 8.971274	 3.108898
2	 -8.778543	 4.307796	 9.778544	 2.685398
3	 -60.776833	 9.690878	 61.544590	 2.983474
4	 7.946818	 15.027148	 16.999033	 1.084351
5	 -20.594397	 12.387747	 24.033007	 2.600063
6	 -3.078624	 18.402992	 18.658726	 1.736551
7	 22.641115	 -22.245613	 31.740942	 -0.776587
8	 -23.888288	 -1.296413	 23.923441	 -3.087376
9	 13.562996	 -3.471772	 14.000288	 -0.250593
10	 28.673981	 -32.027283	 42.987720	 -0.840585
11	 -120.677063	 70.180283	 139.600235	 2.614846
12	 32.275703	 -6.632308	 32.950092	 -0.202668
13	 -8.549271	 -2.100426	 8.803512	 -2.900679
14	 11.086365	 -5.360012	 12.314106	 -0.450343
15	 -5.117593	 2.243840	 5.587895	 2.728380
16	 -20.210438	 43.566475	 48.026028	 2.005148
17	 5.041839	 -89.857208	 89.998543	 -1.514746
18	 1.381799	 -35.468987	 35.495892	 -1.531858
19	 -5.659026	 -51.286484	 51.597752	 -1.680693
20	 30.527651	 21.193321	 37.163078	 0.606845
21	 20.401638	 5.237850	 21.063284	 0.251309
22	 -46.012306	 -18.761347	 49.690243	 -2.754426
23	 8.289077	 6.086533	 10.283710	 0.633366
24	 -0.948469	 5.488781	 5.570127	 1.741908
25	 49.322620	 -24.507101	 55.075573	 -0.461143
26	 16.424824	 -3.858468	 16.871946	 -0.230733
27	 6.228144	 -6.184445	 8.777081	 -0.781878
28	 1.530661	 -1.475318	 2.125908	 -0.766989
29	 -0.543721	 -13.784764	 13.795483	 -1.610219
30	 3.196877	 -2.505975	 4.062011	 -0.664836
31	 3.037453	 -8.987542	 9.486940	 -1.244885
32	 1.431695	 -6.100681	 6.266424	 -1.340290
33	 -28.957314	 -22.475956	 36.656441	 -2.481549
34	 0.433694	 0.585690	 0.728782	 0.933413
35	 1.943692	 -2.408385	 3.094876	 -0.891770
36	 16.101696	 -3.765983	 16.536240	 -0.229757
37	 0.092557	 0.874033	 0.878920	 1.465293
38	 -10.611902	 -7.874926	 13.214648	 -2.503177
39	 16.509087	 3.457243	 16.867201	 0.206431
40	 -4.932342	 8.470058	 9.801525	 2.098119
41	 -11.893400	 5.455377	 13.084881	 2.711536
42	 13.952502	 -0.313299	 13.956019	 -0.022451
43	 1.452970	 -7.480217	 7.620024	 -1.378944
44	 -1.698195	 -10.521217	 10.657386	 -1.730823
45	 3.291285	 3.714551	 4.962907	 0.845741
46	 23.976200	 -1.930358	 24.053783	 -0.080338
47	 2.192841	 -1.653153	 2.746173	 -0.645984
48	 0.798948	 0.451290	 0.917596	 0.514177
49	 0.172059	 -0.307831	 0.352653	 -1.061114
50	 16.648859	 8.252151	 18.581779	 0.460169
51	 3.226510	 6.603527	 7.349621	 1.116307
52	 2.770369	 4.318562	 5.130782	 1.000418
53	 -1.938054	 6.254718	 6.548095	 1.871269
54	 -6.506516	 11.186186	 12.940846	 2.097619
55	 -5.290032	 23.346642	 23.938465	 1.793620
56	 4.733734	 -24.794342	 25.242180	 -1.382147
57	 4.050579	 -1.282743	 4.248837	 -0.306690
58	 -1.637312	 18.616661	 18.688522	 1.658519
59	 3.030175	 -4.547932	 5.464947	 -0.983065
