real imag
-7.1542968750 0.0000000000
-7.9208457097 1.8637812168
-6.0171232984 3.2486875276
48.4212799124 -5.7725945424
-7.5185101637 -15.4094463362
-10.9488303318 4.8478816722
-9.2008241333 -1.6190460979
41.9407999972 18.4960209691
19.4525168563 30.6648995969
1.7390222953 -11.4933754732
-33.7655804338 -27.1835261264
-128.0386229900 -33.2870810788
13.3130907054 -2.8396606506
-20.7793798420 27.8565687687
-25.7222158117 4.2529042452
-10.2994844863 18.1583550727
-33.3235295857 43.1870943242
51.2524453975 -42.2402372178
22.0537815193 -10.6804025981
7.7977439311 4.2151493050
-15.5575758238 -31.1667317977
-8.2574087859 -15.5088329947
22.1984304978 -38.8658442923
-5.1412725819 1.3454163109
2.8497843099 5.3931486650
-31.5993600449 -49.4858410475
-4.5418458965 -12.6288815199
-2.0004162045 1.9934983235
0.8228944989 -2.8754773072
-2.9560075932 -15.2225869327
-0.8236785479 3.9234549178
2.2771958445 -5.1991079742
0.1104171433 -0.9756794065
-25.9215780763 27.7695167000
-0.9892617636 -4.1779416285
0.3941888791 -2.0053093287
1.4436599726 3.4597412092
5.5878580190 -13.5990816794
0.9819121451 3.6696788519
-1.6576136562 -18.8506085784
-3.5432315808 -0.5371355823
-6.0089275650 -0.0338862032
2.4919972207 4.4568506135
-6.5783595022 5.0785201855
-2.2994892327 13.5100503345
-1.2522292999 -6.0740615414
-15.6825076408 17.2676734913
0.7471303201 -3.3732650045
-0.3610239117 -2.9481372362
1.7885832569 -2.3651272957
0.4299453669 -4.1776642149
-4.2894584679 -0.2154602693
-4.4392437125 0.0016962807
0.2804061283 -1.5543769081
-5.1932041458 -1.4711003127
-15.6609079159 8.8146115571
21.4042168345 -10.9721008216
5.2208160304 -10.8411880919
11.7909326404 -21.8247134479
4.5767760112 11.4470692872
2.1025312715 -2.8819194215
4.4388653718 -4.9825172844
-9.6895553005 3.7494866317
3.8634713547 -0.8118956954
5.0821030612 0.1523479458
-1.8355012395 3.9131525854
-0.9842109176 6.8721329288
1.5042806930 -3.8850119308
-0.9080628460 -0.7470250683
-1.6855407309 -0.7658807378
4.0808800609 -0.1158115824
1.2358550527 1.3954266551
2.9674274560 1.6380566712
-3.6289326022 -3.1260372222
-0.7423721990 -1.2529021980
-5.6312497923 -1.6209811993
0.3913912899 -1.1149480253
3.0865667522 -1.7548132004
-1.0212473710 -6.0249429984
1.7363051485 -2.0623484044
0.0094710414 -2.2892383386
-0.2758647463 -1.8962020470
-0.7905102191 -2.0051742626
-1.9321735152 -1.6469111413
6.6375239051 -3.3502590077
4.3705595703 -0.3798240290
4.6934856831 0.4073125612
0.2705863039 0.1481605883
-0.2839364446 -0.8873821353
2.1190040550 -4.7674207493
-1.6248054000 0.0166985717
0.5983009317 -0.5772743889
0.6060869538 -0.6621453161
0.5587216644 -1.3449403992
-0.0790825338 -1.4018924379
0.9589674501 -1.2656250842
-1.3635083528 -1.8396798853
0.9185830825 0.0840297487
-0.2379656127 0.9918653526
-0.5601000791 -0.9651538148
-0.0144730959 2.4738873376
-1.3352684841 1.8927228147
0.4869902622 0.2328075347
0.4510620726 0.0375241654
0.2117185576 -0.0016333767
0.2947679621 -0.5535046339
0.5129733154 -0.8921482660
0.2199774305 -0.8125409312
0.4280625404 -0.3609941959
0.5669558420 -1.5185523798
-0.8722433184 -0.2439498912
-0.1287469044 -0.1519477867
-0.4490781087 -0.4413357724
-0.0641166368 -0.9816871801
0.5470226787 -0.4839459580
0.2199304024 -0.3286319961
0.1902885973 -0.3184305695
0.2224211393 -0.2649995200
0.0716024044 -0.2663386254
0.2254087241 -0.9156958183
0.5949764101 -0.6205949430
-0.0391136470 -0.2206346796
0.0349854335 -0.3776985997
0.4103773231 -0.1168560289
0.4721646951 -1.4487192677
-0.5003437583 -0.5575573849
-0.1720222083 -0.5514877225
0.0312087189 -0.6221842952
-0.0404656688 -0.0904208018
0.3084165588 -0.8136697504
0.1247195100 -0.4987469248
0.0842234939 -0.4687732322
0.1397091959 -0.4640898871
0.1260726424 -0.4957474944
-0.0373405167 -0.7253991017
0.1718983640 0.0489203885
0.1833178011 -0.4352841482
0.1804661874 -0.4192013089
0.1813408413 -0.4145501066
0.1934709814 -0.4132723958
0.2163419967 -0.4024919646
0.1728063903 -0.4048129555
0.1854947179 -0.3934905283
0.2297240062 -0.4292187909
0.2545665993 -0.4256738725
0.2263023375 -0.2227840055
0.0962001052 -0.3317249575
0.6996407494 -0.5078144418
-0.6323736168 -0.4070080267
0.1556461334 -0.3933515551
0.0731828005 -0.2063462128
0.0868963785 -0.2779583476
0.1039404755 -0.2892005911
0.1229322884 -0.2958763903
0.1447105199 -0.3024597805
0.2304381024 -0.2924750771
0.0808394888 -0.1331128043
-0.0239123948 -0.2869816738
0.0579430836 -0.3305973602
0.0107173613 -0.3000427642
0.0462073449 -0.2077668196
0.1519115738 -0.2034596436
0.1821788888 -0.2758900798
0.1471024884 -0.3023148057
0.1503114723 -0.2819650449
0.1447719149 -0.2919552109
0.1464278544 -0.2913716812
0.1451499936 -0.2905391399
0.1480180498 -0.2870562186
0.1537490087 -0.2955141706
0.1323154384 -0.3021889906
0.1203763814 -0.2729103615
0.1179537878 -0.2742291677
0.0956456000 -0.2633634652
0.2546687119 -0.3670036679
0.1573567739 -0.3118679153
0.1582655791 -0.2950848938
0.1709376587 -0.2850189125
0.1861410924 -0.2945464547
0.1281327254 -0.2748062614
0.0845529861 -0.2895387995
0.1194390240 -0.2773471233
0.1317083219 -0.2669838595
0.1318217150 -0.3047692252
-0.0280063108 -0.1446840253
0.1229396287 -0.1918244585
0.1058851637 -0.1836869106
-0.0104858987 -0.2633063849
0.1304895634 -0.2056978204
0.1389560336 -0.2250307043
0.1492262891 -0.2329331554
0.1400772891 -0.2427772706
0.1350607118 -0.2275071466
0.1486478602 -0.2226466871
0.1471368171 -0.2140039472
0.0983746844 -0.2382989657
0.1322209281 -0.2705793705
0.1460931112 -0.2455053554
0.1373174727 -0.2394928275
0.1337407965 -0.2245890658
0.1464083518 -0.1058880143
0.1449925610 -0.3164739967
0.1278249434 -0.2813877624
0.1441043918 -0.2473319930
0.1316341845 -0.2326952439
0.1359942448 -0.2156797890
0.1488864859 -0.2247270527
0.0983295884 -0.2356816269
0.2083319920 -0.2207622418
0.1071287049 -0.1188665787
0.1688019413 -0.2238078310
0.1703269606 -0.2093159300
0.1592622700 -0.2120876857
0.1591803533 -0.2088655657
0.1557008312 -0.2054131260
0.1286699673 -0.2201762427
0.2571984164 -0.1556663631
0.1448200813 -0.2319802718
0.1668150677 -0.2259054172
0.1642623392 -0.2140927232
0.1737140590 -0.1934018479
0.1736688725 -0.2640189446
0.0993514218 -0.1140250626
0.1617166251 -0.2555200966
0.1422249745 -0.2596189844
0.2398549444 -0.1783503148
0.1216351053 -0.2012747632
0.1532858765 -0.1935229590
0.1539397526 -0.1923423001
0.1527386713 -0.1918035921
0.1540620762 -0.1910478019
0.1527918117 -0.1921895097
0.1288953890 -0.2337050382
0.1463893192 -0.1356427256
0.1405984188 -0.1622128624
0.1091853446 -0.1988081670
0.1540212854 -0.2219823766
0.1596738279 -0.1930201103
0.1569282508 -0.1901988750
0.1564630650 -0.1879028835
0.1566704021 -0.1865242912
0.1562130857 -0.1873487212
0.1554203129 -0.1873458913
0.1572986357 -0.1874848681
0.1542513846 -0.1873780656
0.1791400491 -0.2017840164
0.1900188097 -0.1460690018
0.1266730574 -0.1538734818
0.1490989823 -0.1897712073
0.1583311766 -0.1733903206
0.1535922218 -0.1725679644
0.1512100343 -0.1703774434
0.1454853311 -0.1830255389
0.1681726473 -0.1801522739
0.1631965523 -0.1473826879
0.1765592230 -0.1264911464
0.0820007324 -0.1483459473
0.1900792896 -0.1591320041
0.1845978810 -0.1555765555
0.1671716456 -0.1358436619
0.1639777895 -0.1275880713
0.1143506383 -0.1567589059
0.1913730717 -0.0992893529
0.1563696366 -0.1312986928
0.1389908366 -0.1403885310
0.1513901788 -0.1602166033
0.1505981490 -0.1502660655
0.1484087722 -0.1423972643
0.1555576001 -0.1296712301
0.1729941411 -0.1220804032
0.1469849954 -0.1348158462
0.1539845435 -0.1551743109
0.1555633180 -0.0931135476
0.1846627674 -0.1928257323
0.1547171030 -0.1411718277
0.1226643626 -0.0846389336
0.1840432868 -0.1666968659
0.1610527092 -0.1140452741
0.1541797808 -0.1349958889
0.1565856611 -0.1432832376
0.1471099425 -0.1353895202
0.1563629776 -0.1307094894
0.1633139580 -0.1317026541
0.1618683143 -0.1329712678
0.1697622840 -0.1226659742
0.1440670839 -0.1124036773
0.1419233731 -0.1488323439
0.1783814434 -0.1264570098
0.1760993150 -0.1103246798
0.1777837323 -0.1340481046
0.1641741182 -0.1318167180
0.1491501068 -0.1235423936
0.1465419878 -0.1316266989
0.1447767979 -0.1326464697
0.1539301231 -0.1423886409
0.1587221852 -0.1322584048
0.1591135009 -0.1300694852
0.1569160455 -0.1267068884
0.1599733388 -0.1142852000
0.1243612646 -0.1141281822
0.1330285203 -0.1485433700
0.1402618567 -0.1607485736
0.1844253098 -0.1639256051
0.1875958079 -0.1312902637
0.1752855103 -0.1470951840
0.1247283204 -0.1448317280
0.1892319853 -0.1373959936
0.1434573966 -0.1216078502
0.1570459234 -0.1266785751
0.1584623046 -0.1437656130
0.1639942847 -0.0870364970
0.1721795728 -0.1123867212
0.1707544041 -0.1304504627
0.1370271068 -0.0864162212
0.1535946908 -0.1100990307
0.1528904479 -0.1205316018
0.1793498990 -0.1130789453
0.1626555809 -0.0947734615
0.1488059723 -0.1127556758
0.1676902352 -0.0607029283
0.1861201465 -0.1039112106
0.1209991664 -0.1078472867
0.1400055313 -0.1177173111
0.1533675555 -0.1301733848
0.1726930171 -0.1127402379
0.1465104231 -0.0971313545
0.1935507603 -0.1039258623
0.1446044038 -0.1235859312
0.1715725855 -0.0733224098
0.1612291179 -0.0821052126
0.1918293102 -0.1271392574
0.1641855327 -0.1176757194
0.1667573780 -0.1260863329
0.2026064893 -0.1033019766
0.1572260318 -0.0690035198
0.1478185831 -0.0970062902
0.1560450819 -0.0937676657
0.1650913944 -0.0925512190
0.1782967219 -0.1017675548
0.1463877470 -0.1450198825
0.1575147772 -0.1296800374
0.0775860974 -0.0670363235
0.1781430031 -0.0826105262
0.2023436698 -0.0753731365
0.1721605407 -0.0977694103
0.1647733458 -0.1034242468
0.1530849589 -0.0991971425
0.1517876121 -0.0936585663
0.1545640942 -0.1169149801
0.1728940982 -0.0506341659
0.1388426720 -0.0799282222
0.1624380677 -0.0842506009
