real imag
-0.3910827637 0.0000000000
3.0703524692 1.5425645337
4.0324772586 7.7506215368
2.4465604215 -10.5569709853
19.7876738139 -14.5037886791
6.9112137440 -3.4360906141
7.7965197421 9.7438086948
-13.1527044827 -34.8345215949
-25.0325255264 -15.2088729133
15.6421786983 -19.8991845806
-29.2557309170 -0.0183061703
-94.3400947944 -71.8301440072
5.8476099058 7.6025628988
11.4690163464 -31.2945578913
1.6660102072 2.5629506123
18.1086596791 -14.5445984602
39.4041309819 -38.3944712824
-39.1203249139 15.6354098976
-3.8796549917 -4.1471450424
12.3635313262 -33.5552277440
-24.5251212421 49.4988077359
2.7308177142 34.1223826506
37.2880076958 20.2844783112
-1.4009348352 2.8652757054
0.5462432272 7.0705903021
-49.3584542755 -3.9162370982
1.7191765570 1.5589177405
-8.8276470633 1.1630736340
-7.7275899783 2.1039788213
-5.6467419116 -9.7540804355
-4.4205959708 -2.6033514466
-5.7940860613 2.9121486485
-3.3518349340 1.7430410880
-44.7688571985 27.0752997530
0.3136274009 1.4710741886
-0.0540472591 2.0893937539
4.3475853366 -1.8142559340
7.0872841721 11.5671075221
-3.9669685707 -1.9264175944
-13.3919102335 3.7939621878
-4.0576668183 -3.3895200333
-0.5351401919 -2.0262105189
-3.8622686176 1.0775805232
-11.2984304160 1.3478945870
-17.1161137399 -6.7539085406
3.4500039997 0.1021562381
-6.6871045827 7.4953042782
4.3079538734 0.2673815355
2.7894535355 2.1682261380
1.7655962603 1.1910540241
7.2880121189 5.8788392443
0.7786490941 2.2289721793
2.4235768006 4.3117904403
1.5081772765 -2.4819399869
3.5462324932 -5.4217124743
8.6128720095 -5.8555207526
-2.9302929255 1.3960218021
0.4838741058 4.5804966802
17.9664288516 14.0478252979
-12.9022319321 -6.9302477166
1.0955772557 1.9459467515
0.8729290888 1.3189410508
6.2348146107 0.4659854237
-8.4471883231 -1.4821629203
-2.3362227898 0.7050955727
-3.1785508456 -0.2025714148
-4.9719578406 2.9922747509
-4.7899210161 0.1443177731
-1.6823771881 0.3354470337
-1.2537504055 -0.0812922998
0.7486970344 -2.7247743284
-3.5696835472 -0.4928450481
-0.0132109634 -0.5956676042
