real imag
-2.6033325195 0.0000000000
0.2703325621 -0.4620044661
1.7155496747 -2.8810709386
5.8781610512 10.7298166269
-11.4868991200 18.5723303442
-12.2990847766 11.8202137611
-8.4513552935 3.0193371871
37.2241577431 -33.4102993007
42.7307552031 -27.1672088286
-6.3363237109 -13.8998684954
20.2403178168 15.2442318049
-7.7560170178 -118.1304478889
13.4334422800 20.5622260816
-1.8956979290 -9.1092454094
22.0128376724 2.6523968754
3.8022616655 -0.9917383714
8.9063403576 -2.5264316165
-22.6584551815 -8.5736099537
-10.8508035560 4.4741908418
-25.4723377796 15.1869550155
23.2061004827 -34.6026681710
-12.7681517985 -15.2705674163
-5.5407552340 22.4135216787
5.1279637698 -16.9079530799
0.8365449121 -16.9488995049
-6.2779879274 33.9898899159
-10.2914463942 -9.9245732981
4.8208644121 2.1206477145
3.6595770932 -0.6710748581
0.4666852596 -12.7835298548
1.3361620428 -3.7123255318
4.6957668754 -0.5652710916
5.3625784485 -5.3371783244
12.4604701215 17.3882943792
-2.2678069871 5.8944273005
0.8023283560 3.7467685037
7.1646983391 9.0962063415
-1.5393699365 -9.9569500920
-1.9807068419 3.9912389649
6.1456217314 3.6426078074
5.4737377984 -4.7369755167
10.2351932552 -4.7561772521
-9.1242057925 6.6147589408
-0.5951415310 6.1336527296
4.4097612904 15.0659036664
0.0226024607 -11.9619262414
-4.6313482879 -20.5970786853
-3.9431101885 1.6935364647
-0.9311074947 -1.9845341697
-0.6364921942 -2.9531635052
-3.6241242539 1.2488289601
-1.2037227298 0.3222680615
0.5889100467 -1.0955404065
-0.9042472872 0.5767658915
2.8539783959 -5.1197965493
2.7684589429 -10.0230358076
-11.1200266667 5.9977387966
-5.7717751166 -2.0739101815
-15.1281977318 -16.0260299510
1.5615329906 5.5714680868
1.5579773678 9.7623927522
-1.0867328622 10.2472286540
6.4410984080 3.3422463419
-0.9537932875 -0.8325018396
-1.2164353514 0.7526986181
-1.9352686070 1.5669907719
-3.1022942328 -4.8363559840
4.8633547105 -0.0834355827
1.3090726209 2.0089991794
0.7392240324 0.6753810784
-1.0143520456 -0.0161067974
-2.8627444194 -0.7700722827
-1.8915954252 1.6615026127
2.1209858685 3.2330879454
1.9455250975 -0.0370539858
4.3997114457 -0.7286843816
