real imag
3.6841125488 0.0000000000
4.1414589845 -2.3655577943
3.4180320048 -9.2470949709
19.4830166535 -9.4293161581
25.3776261599 -1.7854534441
50.0032373970 -11.6020184767
-4.4008765562 -14.1596549195
20.0762362973 4.0838201914
19.5756580082 -21.3338120929
1.8240775427 -18.3739649923
-13.5785926474 30.4406627977
3.1543525452 43.8508410684
-39.4555250376 -25.7811913289
10.0787544352 -15.2160207085
-26.5719996890 6.5507363320
1.4625195500 -8.9712793035
-38.4754541233 -53.4100216121
21.5320155796 52.1634103412
5.1598217311 21.6188006172
0.9751892858 19.0934923769
54.1039890019 -11.9215564796
48.4915543680 16.7385451878
71.1225592390 10.9612753482
-13.0729252684 16.3024166649
9.3374225140 0.1904064554
-71.5506621521 29.9914287518
-12.7742342187 0.9456298529
-7.3636486758 10.7053915957
-6.6567547531 6.7294687483
8.2627025713 -6.9382891581
1.4050083554 7.0829415261
-3.8394199683 6.5805531351
-3.9035218505 6.8723223824
18.3363274880 0.9735563579
0.8831301054 7.2559228606
0.8108554282 7.7748070986
2.5465905014 23.8603212381
-3.9545359546 9.8697173448
-3.6115595032 -1.6399169264
3.6697280440 -6.4159265479
9.9183633185 -0.8870389720
18.6216179716 -3.9086308519
0.6966269332 7.4009282699
5.2197862962 -2.3863580806
10.5505344577 -0.8875138133
-11.4641558774 0.1100519346
8.3347597449 -4.0261977684
11.4425331594 10.0844918727
2.0600165834 -2.7738970445
4.2829315460 3.3899439839
-11.6480303184 -5.0327554949
0.0882594481 5.8249015933
0.4669115544 2.6644161534
11.6110386418 0.4722625295
10.6866836965 5.0216822912
36.2132490937 -3.3484725388
-42.3740192898 11.1666714039
-10.8657243381 -5.6828545735
1.6627772074 -17.3462452862
-9.9416931423 7.7449488448
-6.0234957762 7.4331497527
-8.5207746583 6.7807957910
-6.7346631526 14.6565942029
-0.2027886720 -13.9799666565
-9.7069656161 4.9429410448
-2.9981688400 -0.1118935100
-3.8895515334 -6.3046484109
-4.9664275383 13.1951081886
1.3223883127 5.5207531950
-1.8801864748 5.3863246962
2.3474331533 1.2044677894
-0.6616708963 3.8490148539
-5.6402128140 4.4460610266
2.2270832073 2.6052483004
2.2451724419 3.1918856213
1.4749609521 8.8474657415
2.1308426266 7.9357209590
-3.7678470176 4.2114891303
8.0498380655 4.0396588208
-1.8372232566 -5.4259942405
-0.0637072571 -2.2685051474
-2.0023117808 -0.3064320843
-1.8651522549 -0.6597000162
-3.7497079859 -0.4523978108
7.4022872878 0.0961793048
-1.4455585294 -1.5296374267
-0.6330669905 1.9517011245
-0.9258024700 1.5496166313
-0.8128065488 2.6569807720
-12.0775528841 5.3773731655
2.7300911564 -3.2050952022
-1.0241987469 -1.3221153179
-0.8332410209 -1.2500323354
-1.0230522193 4.6518598110
1.8004581297 0.4291762567
3.3673443041 -0.7760524045
-2.6518354689 -1.0778700890
