real imag
4.0234375000 0.0000000000
4.5504715883 1.0485401543
7.2589489404 4.8754462286
8.8706131785 -7.6197459843
15.7235399487 -16.9395972519
23.0979658419 -32.7718458273
-30.3955104784 -37.2625780451
-18.0088713606 52.6365427688
-1.7818207487 7.8403847213
-36.4605418966 8.8062576960
27.1254019791 -2.4785927680
-123.0574777803 102.9206503438
-6.5505190478 -19.7318246749
25.1120382119 -10.6953806273
22.1257706679 10.8681072121
3.1834417424 -8.3045717426
-5.7041485285 -46.7954728703
9.9102965227 64.9510069536
-2.3459197828 21.4933430977
-7.8995435518 9.1277133189
-16.8352619576 37.4626314066
-25.4653762146 27.4733089628
-44.3654677519 56.4561367344
0.0879622226 -2.7902148623
-12.5121416309 1.6484603952
48.0159470066 29.4151350406
8.8344647775 12.0310721844
8.0196035162 10.6526913598
9.2102629249 3.1199967697
7.4490648951 -11.2195047256
6.7421634831 6.2866780020
4.9061023837 3.4081985449
11.5231061326 7.3011521697
-31.2694784752 -33.5106296924
1.4879098426 -2.3063864735
1.8998284507 -1.8614994455
5.8747564913 -9.1215369880
7.8317935501 -8.9639378990
9.4601111372 0.4536963819
-11.4780405188 26.6593537840
2.4773137279 -1.0729795050
16.1037107921 -2.7962011133
-18.2081639576 8.5263179845
-3.8754839558 -4.1851514211
-15.4234835062 6.2478197534
1.7876174655 -2.5997422599
11.9933641356 6.3644971875
-2.4437561982 6.3795713014
1.9506307367 4.2278689280
1.9974435707 4.1464669947
3.2829947321 3.4932748258
0.9277972031 1.3231306253
3.5807703419 -0.1350722870
2.3630949861 2.4067923169
3.5580873084 0.3289916518
16.4293154108 -25.4396317429
-12.4546030426 9.3074377769
-8.6962431312 6.0580535519
14.1063853360 12.8452144313
-6.7051290420 -7.0617873761
-4.8872915231 8.3165413220
-15.4146133158 14.2667334542
2.5726492433 9.7925338210
1.1677559290 2.2442577931
1.0027758648 -0.6416489274
1.5517295316 5.9421478184
6.8231090491 -8.3910809724
-7.6390191862 3.0945681795
-2.3223992428 2.2445876298
1.9392365786 1.3786241834
-6.1245329035 6.1022803501
0.0834433783 4.2679864533
-0.7925789957 2.8279397744
-2.3493055845 4.0839681991
-2.0361608502 3.8986982124
0.6248006173 8.3985057861
-2.0985438298 7.2803466059
4.3902240660 3.7564804323
-2.4989509220 -2.0882056854
0.0273473948 2.2290646692
-0.6211282142 -2.5591394183
-2.5664633267 -0.8777703548
-0.9486154327 -0.4893631330
-4.9368922141 -5.1026756183
-2.1091454434 2.6723227597
-0.4194447884 0.5639814043
2.7223634496 2.7840778196
-2.4639830768 5.3330336763
-1.9826454762 1.5221949096
1.5440767662 -6.1079047758
-1.7341840971 2.8790582575
-1.0681576897 1.8863837344
0.0485487446 0.8807008736
-2.1167453859 4.0466430587
-1.1081000624 2.9327408762
-0.6888967450 2.6692226150
0.0197627626 1.6155152717
0.6528470512 0.7031475915
-1.8430299207 1.9801084435
-0.5852412909 0.7025136181
-7.7786988743 3.0805527007
5.1126451237 3.8130154458
0.0172664969 3.0395784091
0.1678441682 1.9435757145
-0.3451647515 2.0176785226
-0.7481325713 1.8516300036
-0.9942724444 1.5224999939
-0.2036245402 1.0610548664
-1.4386610432 2.9817779426
-1.2661735964 2.6011010445
0.9233943549 1.0899786067
0.2448244571 1.3048809594
0.0749965464 -0.2343221935
-1.1306989770 1.0266952170
-1.5230520614 1.8379758055
-0.6819773095 1.0023442839
-0.7077687905 1.4003365946
-0.2318590741 1.5703966812
-0.2476493819 1.0845890386
-1.1159090898 0.6630504908
-1.0408704715 1.0120464987
-1.0316901233 1.0568105156
-0.9830879047 1.0946472864
-1.1539990771 1.4713660231
0.5900925620 1.4292265110
-0.1943983413 1.0243410659
0.0777027001 0.7191759674
-1.3335716049 1.6838969344
-0.2805652064 0.8891724396
-0.7472888242 0.9354414109
-1.0405868498 1.0916254687
-0.3926713137 1.1881782311
-0.5848376540 0.9944032921
-0.5477603886 1.2728824318
-0.2407255098 1.3729535367
-0.0466535490 1.7910696106
-0.6677522327 0.4767280785
-0.3811875845 0.8323758550
-0.6213505786 0.4989007892
-0.3795917094 0.9779764634
-0.3599767669 0.9230941849
-0.4434437919 0.4727774502
-0.3090010451 1.0749481708
-0.4442458561 1.0107650846
-0.0965244366 1.0449445821
-0.3819585546 0.4997325789
-0.5634509648 0.1690016886
-1.4318626581 0.7812620912
-0.0531033228 0.6301234617
-0.2557437151 0.9317881490
-0.3717388510 0.8666380323
-0.3511461462 0.8580858374
-0.3886117689 0.8596733800
-0.3916808543 0.8283149814
-0.3981582669 0.8114116213
-0.3890652433 0.7014157828
-0.6095302328 1.2625772613
-0.0600249946 0.4611369585
-0.4366503965 0.6460385030
-0.3662295607 0.0467961272
-0.4156984674 0.9676134313
-0.5092974269 0.9167887575
-0.4077292133 0.8035489429
-0.4096298748 0.8615141421
-0.4071447282 0.8465517797
-0.3851958061 0.8045153410
-0.1729403628 0.7204221063
-0.7603201463 1.0662697463
-0.4714064474 0.7199624729
-0.3752472392 0.6816654035
-0.2289758352 1.0065313905
0.5476436884 0.1396363795
-0.2454580805 1.2734671354
-0.7130439531 0.9029445542
-0.4037122155 0.6119852126
-0.4325761362 0.7885478293
-0.4581362754 0.7236283764
-0.3651361388 0.6914357891
-0.3262507524 0.7654066003
-0.5660132307 0.8143177391
-0.3162168361 0.5441254528
-0.2455235645 0.8456640095
-0.3342143955 0.6793423344
-0.3372646057 0.5454121893
-0.6672947492 1.0981887478
-0.5251453012 0.9043043390
-0.5209097191 0.7857006569
-0.7673114809 0.8446459777
-0.6056295491 0.7703895950
-0.7371480354 0.6273196278
-0.4164768567 0.7795408088
-0.3501745107 0.7484375293
-0.4759640006 0.6081734993
-0.4093016098 0.4980124099
-0.4310595380 0.7784825281
-0.5520112307 0.5327883309
-0.3924675504 0.6650431751
-0.4292660139 0.6473838628
-0.4652988577 0.6516848923
-0.5725143405 0.5858033349
-0.3153144921 0.6083427870
-0.4357477152 0.5995467757
-0.3890280365 0.5785298008
-0.3143536993 0.6230386511
-0.5466428432 0.7525137415
-0.4088032560 0.5359113603
-0.4550632436 0.7597461671
-0.4799766399 0.5547069259
-0.5785129591 0.6415796676
-0.4005365116 0.6183728905
-0.4715305470 0.5746048657
-0.5444825292 0.5634656129
-0.3024355034 0.6462898551
-0.4049756996 0.6076725209
-0.2702627715 0.7196918436
-0.5415822272 0.6577611978
-0.4966770655 0.5737613370
-0.3371515471 0.5910172406
-0.6439116506 0.5817002731
-0.3253922407 0.5404168678
-0.5208012047 0.5712270166
-0.5758431212 0.5879961641
-0.4507414423 0.5221589897
-0.3710258800 0.5301847309
-0.5685074285 0.6587986580
-0.4804268091 0.5989408265
-0.5235985811 0.4955181272
-0.3407383339 0.6108723455
-0.5564946037 0.5385593061
-0.5049965946 0.5490391735
-0.5350595535 0.6138619234
-0.4368229650 0.3694001565
-0.5250599041 0.5469421478
-0.5088244457 0.4937902077
-0.4668223719 0.4658061258
-0.4797991491 0.5378091690
-0.4106311720 0.3781608392
-0.4049256743 0.6076478338
-0.4119332175 0.2571309205
-0.4507274933 0.5227802540
-0.4603766963 0.4915381391
-0.4090015810 0.4896703295
-0.5110008435 0.5034301247
-0.3804234564 0.5161897394
-0.4338542605 0.5080098198
-0.4584611296 0.4886144227
-0.4830871245 0.4737501357
-0.4735191852 0.5057926663
-0.4684721329 0.4997945586
-0.4432912578 0.5082757148
-0.4230262120 0.4851643049
-0.4390301076 0.4925325230
-0.4700660557 0.4710478555
-0.5568616937 0.4690215060
-0.3494275662 0.3588538423
-0.4259157878 0.5034571055
-0.4550781250 0.4707641602
-0.4584001826 0.4460074353
-0.4702113007 0.4492471595
-0.4673849498 0.4772850835
-0.5341955042 0.2960854658
-0.4030657407 0.4931988198
-0.4466338564 0.5139861059
-0.4607268181 0.2480183358
