real imag
2.2111816406 0.0000000000
3.8233491581 1.2648708289
-0.5580145743 6.0617556679
51.1165926416 -20.4688785740
2.2414427711 -6.2689859623
-18.6664162800 36.1358892094
43.1466248438 29.5681267997
-4.3877160553 -41.8838381585
-9.8133574377 -16.8465862018
3.4659316155 -5.0867918281
24.6955603729 47.0766960664
-56.9232119896 116.5300868067
20.5840673974 0.5070451795
2.7885170465 -47.8868450260
6.4303190995 28.4554947411
7.7104261456 15.1226609136
17.4315862621 47.8679514464
-29.3818732868 -66.7639809200
-2.8795185733 -11.7500537643
7.6185950960 31.1874232261
-23.2325431557 -51.3061661193
-9.0273499906 -43.6783131133
-0.2747408084 47.8252090978
-0.6561710627 -34.0642812919
-0.9593930582 -29.1266569075
-18.6628169994 40.8503323812
-2.6869394273 -4.6522089476
-4.0523060860 -8.3580977464
-2.6309582481 -3.3139059392
4.2088102794 -19.3290922444
-0.9936547493 -8.4675991370
-3.8502997614 -2.3611494179
-5.6887972476 0.0601059480
-6.3716831799 -38.4509542464
-0.5063195550 -10.4565549827
-1.7696524441 -6.5430774952
-7.1978397853 -4.4532031989
-8.5374028691 -11.4365004227
4.6573109367 -5.0953318062
-7.8212899538 -22.5414280748
-11.4724798212 2.3697542167
-16.4249820649 -2.2931698685
16.7554537055 -7.0064137321
10.7838096656 -3.6538715604
1.7585033875 8.1610747982
2.3643568022 -11.9098948197
11.8039381366 -23.6054327783
-5.5021053268 -10.3557771301
-1.4063761156 -9.4113122526
-1.9779646497 -11.0217744492
-0.4489960458 4.0464775200
-0.9489866245 -2.2080552411
-3.9304240536 -2.8621461812
-8.4276559566 -6.8051822590
-17.0886983997 1.0266759711
-34.4284738769 -1.5210781445
40.1949968210 4.6791513054
14.9024586460 -2.4991606261
27.7287496506 -4.9338352286
-0.6501379545 -3.1848012190
4.2054212639 -10.3933523490
-1.5255750120 -3.2078504519
4.0829873626 -19.1287888096
-3.8446099730 2.0311488726
-4.9853739119 -4.6979230792
1.4755783446 -3.7466467143
2.9399419554 -10.8535043884
2.4976173118 -4.9542923825
4.1717581705 -4.1030208274
2.5461797853 -1.4527267596
-0.2826272254 -6.7493342004
2.5756346144 -1.6132305806
-1.4494979013 -7.6120796402
0.0901997997 -1.3063888239
2.4026700692 -3.1221906025
0.7223679434 5.4277006279
2.0128485420 -5.9823070373
-0.1406492196 2.2537681463
6.6777109791 0.4230830111
6.4511546163 -7.6043236571
3.6878894617 -0.4784445422
2.3003792034 -1.7485467315
2.1851591843 -1.8033906567
2.3507845249 0.4903897375
0.1736039479 -9.2865083733
-1.7843381738 -2.3548867851
2.8205502776 -6.9587934435
1.8424251177 -2.2680023458
-0.0869066114 -1.5876667614
-0.4900753619 -9.1664150397
1.1197822660 -1.7347519175
1.0038274292 -0.3395663393
2.5264453420 -2.0856659489
0.3008130339 0.6983032428
2.3763939132 -3.9768091752
3.4745642409 -0.8403257223
1.8204972957 -2.4219104297
0.7503634035 -0.4367854983
3.2474164388 -2.3170132018
2.8324650074 -1.0131008568
4.2963625197 0.3039310981
-4.9809547489 -3.6435511467
-1.2212938894 -2.8670103902
-0.9607451970 -1.7519989938
-0.8065624416 -1.7815587118
0.7115053515 -2.0176491170
-0.3598855032 -2.1152780711
0.6665885043 -0.5513035956
0.0880632731 -1.8965808148
0.9297828869 0.9551283927
-0.2970527398 -2.7011237750
-0.3434336325 -2.9241441542
-0.6378966570 -1.8043279606
0.7891363087 -2.6264448055
1.6365259554 -1.9867885347
1.0295164291 -2.0766076020
0.9271961847 -2.3043497499
0.9539479000 -2.8871099395
0.4395797892 -2.6545052183
0.6242852661 -0.5149062084
1.3276999227 -1.9300904255
0.8667338736 -1.9117544572
1.2434725737 -1.3073898964
1.5311531245 -1.5495213261
-1.5508485140 -0.3737944572
0.7016477905 -1.3369300351
0.4038871014 -1.8126243076
0.4025590617 -2.0531847725
-0.7110002704 -0.8490941392
0.1639378650 -1.3731059385
-0.2307245985 -0.6817563929
0.9789849150 -1.8128475928
0.7325614812 -1.4754422757
1.1318788870 -1.9037469541
0.5532971359 -1.7129628997
0.7858273110 -1.0778267624
-1.0003834835 -1.1449796110
0.3263638865 -0.8921963782
0.4525475419 -1.0343012627
0.4318479138 -1.0790223407
0.5102027992 -1.1622741662
0.5815811633 -0.9305268971
0.1965090923 -1.3122728794
0.4734007995 -1.1176854949
0.6698370624 -1.0906299858
0.6521725901 -0.6562940220
0.2928527204 -0.4081483369
-0.1640124390 0.2335341529
1.6057551488 -2.0254499910
1.2320648639 -1.5253213420
0.6126502435 -1.7178390359
0.6361556714 -1.2812964575
0.6155009253 -1.2541207083
0.6074613969 -1.2376189666
0.5821941487 -1.2243654776
0.5608496236 -1.2767113218
0.5415388941 -0.7744121498
0.5647578675 -1.2019499743
0.5747085457 -1.1587706866
0.4410336281 -1.7217759578
0.7644097273 -1.1550888241
0.5876997936 -1.1397999034
0.5655985777 -1.1430962003
0.9525674779 -0.9260757182
0.4893173109 -1.1923496818
0.5785716457 -1.1133540965
0.5632213659 -1.0905080318
0.5612739580 -1.0665619540
0.5183632417 -1.0649297280
0.5021360302 -1.0013802638
0.4582748668 -1.0403380096
-0.1656117698 -1.3690241341
1.9968923424 0.4995599617
1.2461157191 -0.9706529096
0.8537251431 -1.1141680161
0.7343309670 -0.9835792032
0.7800484234 -0.9650999315
0.7418620442 -1.0123527525
0.5970729461 -0.9215671637
0.8067918052 -1.0041905438
0.7171498740 -0.8775458646
0.7192050471 -0.9725776174
0.6435758841 -0.8312981505
0.5723742149 -0.7977729831
1.1759077981 -1.6721602106
0.5249847526 -1.1050927291
0.7170049688 -1.1279398023
0.6288246625 -1.0050293730
0.7172209145 -1.0226015633
0.6387383789 -1.0160271796
0.7228183668 -0.9662532775
0.7856944421 -0.7525344121
0.5661223096 -0.9281389782
0.7660507240 -0.9422539546
0.5774936501 -0.8359888444
0.6266356132 -0.9313339037
0.6186510271 -0.9090137267
0.6784903232 -0.8676876350
0.6342707220 -0.8969590334
0.6399936297 -0.8879464550
0.6315239491 -0.9737175173
0.6256089104 -0.7808508006
0.6361608239 -0.8516161681
0.6320344463 -0.8435612734
0.6823760936 -0.8702155640
0.6477028488 -0.8451954507
0.5857030210 -0.8047351384
0.6319962398 -0.8733543805
0.5729238601 -0.8886300353
0.5544292083 -0.7754965128
0.6789513733 -0.8775890670
0.6676121780 -0.8057531280
0.6242844783 -0.7763256050
0.5780857465 -0.8037046731
0.6094606091 -0.8040600906
0.6144228635 -0.7867963288
0.7979999321 -0.6549879941
0.6864592468 -0.7442352509
0.5742355058 -0.7106364187
0.6671039810 -0.7437856728
0.6266087940 -0.7590865556
0.6468322434 -0.7445095385
0.7262495743 -0.8315253397
0.6283711542 -0.7927019506
0.6815564335 -0.7518016242
0.6165134139 -0.7851359761
0.6354227837 -0.7588668934
0.6326770673 -0.7464123964
0.6420788118 -0.7472040966
0.6357537934 -0.7431594378
0.6144765937 -0.7544533657
0.6909747969 -0.7227533950
0.6000871785 -0.7096502600
0.6319840101 -0.7265929027
0.6320765780 -0.6697996696
0.5844567633 -0.7536461756
0.6331692075 -0.7690087018
0.6076999199 -0.6309769800
0.6212415703 -0.6634373998
0.7014702298 -0.7531774446
0.6193164369 -0.6834845916
0.6492113442 -0.6742377036
0.6577395103 -0.6669204049
0.5290723138 -0.6400250848
0.6303033260 -0.5938053447
0.6263917727 -0.6337395339
0.6752919260 -0.6156492521
0.5747624973 -0.5921427014
0.6572660591 -0.7302428255
0.6234457902 -0.5979857732
0.6328676691 -0.6310223929
0.6218253650 -0.6422608014
0.6697088585 -0.6303354808
0.6780144554 -0.6377312957
0.6535644183 -0.6559992112
0.6177793784 -0.6375205663
0.6205749512 -0.6322326660
0.6270332467 -0.6614213457
0.6043261708 -0.6337637008
0.6263507435 -0.6229209574
0.6971330121 -0.6363636971
0.6428505806 -0.5985153317
0.6666424518 -0.5943244857
0.6136455169 -0.5530415294
0.6466640869 -0.5434633009
0.6140619797 -0.5731170249
0.6737829341 -0.5469465204
0.6164470342 -0.5571764311
0.6534467735 -0.5848808140
0.6395539945 -0.5559588438
0.6723597484 -0.5111137825
0.6146948646 -0.5899945251
0.5924846869 -0.5441055541
0.6374602485 -0.5384063099
0.5994282956 -0.6084970030
0.5526870673 -0.5281530437
0.6865285224 -0.5030238663
0.6633765589 -0.5041286475
0.6410845382 -0.5613107602
0.5989577615 -0.5527379990
0.6742133115 -0.4792030655
0.6415529320 -0.5465338732
0.6499369584 -0.4932738960
0.6407740424 -0.5313088478
0.6079914159 -0.4904933677
0.6299307241 -0.5027561255
0.6522067279 -0.4911108447
0.5982840695 -0.5397473290
0.6531295001 -0.4526371323
0.6573036491 -0.5152686003
0.5927558637 -0.5216679448
0.6241578446 -0.5119664508
0.5819672175 -0.4855475007
0.6394064053 -0.4911277671
0.6102535825 -0.4777544040
0.6155730952 -0.4865557188
0.6154727622 -0.4475194830
0.6314277589 -0.4895957550
0.6577894874 -0.4836819863
0.6238551396 -0.4493155108
0.5821128535 -0.4328955287
0.6486955036 -0.4969989963
0.6414026153 -0.4421737849
0.6467264607 -0.4500777857
0.6031275904 -0.4510404503
0.5901135392 -0.4390271984
0.6224805600 -0.4733762779
0.6041632824 -0.5090334417
0.6070495330 -0.4403142127
0.6510691069 -0.4327899980
0.6277954061 -0.4457078888
0.6288717054 -0.4375607324
0.5938211231 -0.4247289775
0.6496701320 -0.4082726980
0.6385327940 -0.4437956564
0.6269515931 -0.4040578355
0.6086239383 -0.4561837376
0.6213374141 -0.3983043944
0.6235855002 -0.4080483912
0.6622483916 -0.4222180999
0.5814141586 -0.3923197580
0.6088046851 -0.4167119892
0.6100613061 -0.3664329049
0.6468318167 -0.4234949733
0.6155527082 -0.3886528413
0.5974279381 -0.4136616365
0.6303023285 -0.4216068471
0.6329874926 -0.4133574438
0.6028126478 -0.3696506118
0.6002539980 -0.3952585130
0.6356868985 -0.3964865270
0.6393148288 -0.3830499162
0.5767161798 -0.3499000796
0.6293679662 -0.3972581244
0.6390170500 -0.3797076437
0.6289709658 -0.3677471236
0.6026892644 -0.3358083269
0.6069204515 -0.3918334440
0.6293851257 -0.3604053225
0.6198250891 -0.3527955144
0.6023802503 -0.3833880719
0.6350875216 -0.3194726881
0.6549464461 -0.3536366104
0.6487549040 -0.3132997751
0.6281731613 -0.3537811470
0.6149184815 -0.3154808540
0.6004679558 -0.3134639245
0.6271140741 -0.3419954644
0.6170699053 -0.3343763207
0.6027171998 -0.3228831886
0.6389325882 -0.3542734744
0.5936923674 -0.3420845015
0.6099463093 -0.3369201754
0.6087247383 -0.2931543071
0.5999656736 -0.3344374193
0.6105798266 -0.3249658809
0.6163993540 -0.3372107997
0.6285184843 -0.2977568171
0.6440256275 -0.3513922899
0.5964419264 -0.3272091819
0.6370886754 -0.3458078219
0.6303726762 -0.2899348589
0.5847065913 -0.2812087493
0.6158739849 -0.2908294112
0.6055216358 -0.2883520190
0.6211744788 -0.3207166980
0.6161559410 -0.2657145740
0.6060302398 -0.2901164990
0.5966766539 -0.2947743868
0.5943008906 -0.3081468897
0.6388532258 -0.2791385731
0.6223349469 -0.2370279180
0.6376176177 -0.2746544139
0.6202206169 -0.2684347279
0.6077817681 -0.2772014305
0.6201268243 -0.2911403499
0.6286007426 -0.2786083594
0.6077009491 -0.2712781904
0.6504650038 -0.2457464804
0.6336488214 -0.2810804679
0.6239406922 -0.2342736121
0.6279693980 -0.2565364850
0.6298055400 -0.2392954035
0.6153756041 -0.2711875534
0.6138323017 -0.2331883774
0.5980341768 -0.2781243491
0.5996113402 -0.2233250410
0.6112973315 -0.2327416691
0.6288772269 -0.2347438468
0.6487890168 -0.2387716471
0.6322332244 -0.2126634904
