real imag
-5.2141723633 0.0000000000
-4.6716470912 0.3828123085
-8.9362070248 -2.1144023715
-2.5623215508 -7.6078307926
-1.1953182188 -4.0837571618
-1.2960262982 -4.2050044003
1.0303347463 -5.3236801498
2.2469439321 -1.6428524634
-1.8681852178 1.3480917530
-9.3667841785 -7.8759020123
7.5631045559 -20.8542574559
23.5368282517 1.5738864050
-0.0611010255 12.9610971977
0.8949694553 -8.2422327385
17.4445965120 4.0248027567
5.6047706539 14.9811530950
-0.5558189635 14.6073594534
-11.4095453425 11.6724946946
-8.4631848855 -0.9046904785
-2.7079181195 6.3876709601
-16.4263241225 4.9039658521
-13.9079636678 -12.5895804634
2.9672235729 -15.0067385576
10.4194598495 -0.4027255456
-2.6260113889 7.6043171346
-7.2126765841 -3.6778582766
-0.2927123574 -4.2138117830
-2.1387467174 -3.9035639317
2.6676740718 -5.8760253369
2.7322956374 -0.8756006146
1.4948979584 -4.2215583765
8.4866486401 -1.8059726596
5.3308045734 6.6048548873
-0.9478421859 5.1623967537
-0.8474211283 3.2642119802
-3.3363523247 4.0418729643
-5.5312778134 -1.4346373074
0.9092740477 -3.8114423841
2.3831132362 1.3716309493
-0.2410947680 2.3520048966
-1.3658468007 1.9136554245
-1.5628792029 0.6760681121
-0.1553333919 1.2046424116
-2.1616639530 3.5943252248
-5.4455026276 -0.4010039625
0.3220719314 -2.7583950228
0.5254066277 3.3466261933
-3.9784251782 2.2673133603
-2.8403819980 1.3163668871
-6.4333922925 1.6414636733
-4.8158821423 -4.0682112297
-1.5995109365 -0.3065150177
-5.6811772989 -1.5074353285
-2.0119031789 -2.6623516997
-6.4151046723 1.1145188041
-9.9716206327 -7.6605159343
-2.2476399160 -12.0815957893
3.1214886626 -9.9021257672
5.2707928066 -5.5851465765
3.9213157254 -3.8969801885
5.4340437958 -3.2106769940
5.3574808166 -0.0117062776
3.7346849991 1.7136642180
1.2027927093 3.1415088087
-1.8351998512 0.8473067287
0.3271459019 -1.0547677086
-0.1329630025 1.4352823164
-3.1685695302 -0.2661901838
-1.7580740918 -3.5209177375
0.7643307753 -2.7703748712
0.0322176126 -1.8118337499
0.6964768199 -3.0375567847
2.2059353190 -1.1834731810
-0.5372480172 -0.0907601896
-0.8806183139 -3.3625927636
2.2403650871 -2.9780075603
0.4212412456 -0.6182672953
-1.2521269654 -5.3360232377
6.7759887906 -7.0820753738
9.2196365318 2.5698842083
0.2428755229 5.1097095695
-0.9318031096 -1.8622608549
3.8094552300 -1.2455712185
2.5730877949 1.3698161450
1.7351046096 0.8533029315
1.6115855549 0.9940276733
1.2315371377 0.9812265372
1.0065114984 0.4036880415
2.3692277225 0.1678670470
2.8852509067 2.7725891184
-0.4037686679 3.9307875925
-1.8959603191 1.3396709344
-0.8946061164 0.2750535674
-0.5134140496 0.0213806377
-0.1628887104 0.2242765870
-0.4122985618 0.0052331549
-0.0819431452 -0.2483230680
0.3751513768 0.0273291318
-0.3218053614 0.7704256223
-1.6912056426 -0.3893637758
-0.4225621113 -2.8849072514
2.8901804918 -2.0267271824
2.8226594922 1.0668502958
0.9664823308 1.5608834234
0.4463496588 1.2317025669
-0.1322874556 0.9845996433
0.1012368234 0.3935735996
0.1988907137 0.9729551972
-0.7208701850 0.7658214733
-0.5283460276 -0.2313530970
0.1842766743 0.0622601620
-0.2790673961 -0.0085851291
0.4935195934 0.0124300155
-0.3489115415 0.6593706891
-0.4380952738 -0.5886010418
0.7351462742 -0.1595206459
-0.0882454674 0.5426200408
-0.1276474516 -0.4104060923
0.5413703575 0.0125218269
0.1512889865 0.0700170149
0.6974028937 0.0957577395
0.4811841699 0.7828205226
0.0110704126 1.0399440491
-0.7599605858 0.9320327408
-1.2025408858 0.1803645693
-0.8748318346 -0.7444070138
0.0879289950 -0.7061422000
0.0480970697 -0.3298256116
0.3877821090 -0.2894386631
0.0313964622 0.3566458591
-0.3682034217 -0.3743072370
0.2859771382 -0.2681825141
0.0020919247 -0.2115744205
0.4057978293 -0.2496698438
0.3209237445 0.2461520462
-0.2360575164 0.0887178895
0.1050178763 -0.4688933971
0.5946191909 0.0871593990
-0.1817569167 0.3625696267
